Name,Gender,Age,Education Level,Screen Time (hrs/day),Sleep Duration (hrs),Physical Activity (hrs/week),Stress Level,Anxious Before Exams,Academic Performance Change
Shaurya,Male,17,Class 10,7.0,4.1,2.3,Medium,Yes,Improved
Ananya,Female,25,MSc,3.2,7.8,8.8,High,Yes,Declined
Sai,Male,26,MSc,4.1,5.2,9.8,Medium,No,Same
Saanvi,Female,15,Class 9,3.5,5.5,1.7,Medium,No,Declined
Arjun,Male,25,MSc,2.6,8.7,9.1,Medium,No,Declined
Diya,Female,18,Class 12,9.8,4.7,2.6,Medium,Yes,Same
Saanvi,Female,22,MTech,9.1,6.6,1.7,High,Yes,Same
Krishna,Male,21,MSc,9.8,4.9,9.4,Medium,Yes,Declined
Ishaan,Male,15,Class 9,7.6,8.3,0.0,High,No,Same
Shaurya,Male,15,Class 8,7.5,6.4,4.7,High,No,Improved
Vivaan,Male,24,MSc,3.9,5.0,5.8,Medium,No,Declined
Meera,Female,17,Class 10,10.6,4.6,5.9,High,Yes,Same
Aditya,Male,16,Class 9,7.5,7.5,4.8,Medium,Yes,Improved
Anika,Female,24,MSc,10.5,4.1,5.2,Medium,No,Same
Kavya,Female,21,BTech,5.6,7.2,7.6,High,Yes,Improved
Myra,Female,19,BSc,10.7,6.8,2.8,Low,Yes,Improved
Vivaan,Male,24,MA,5.8,6.8,2.9,Low,Yes,Same
Riya,Female,19,BSc,4.6,6.4,3.6,Low,No,Declined
Vihaan,Male,26,MTech,11.5,5.0,0.6,Medium,Yes,Improved
Aadhya,Female,23,MSc,11.5,5.4,0.9,Low,Yes,Improved
Myra,Female,26,MSc,6.1,5.3,9.3,Medium,Yes,Same
Aarav,Male,25,MTech,7.7,4.1,6.3,Medium,Yes,Improved
Kavya,Female,20,BSc,10.0,8.2,9.9,Low,No,Same
Meera,Female,23,MTech,3.4,4.3,0.1,Low,No,Improved
Diya,Female,17,Class 10,11.5,5.8,3.3,Low,Yes,Improved
Vivaan,Male,22,MTech,5.1,6.7,1.1,Low,Yes,Improved
Meera,Female,20,BSc,5.4,5.5,6.8,Medium,Yes,Declined
Diya,Female,17,Class 10,6.4,4.0,8.5,Low,No,Declined
